number,objective_value,datetime_start,datetime_complete,duration,params_d,params_p,params_q,user_attrs_mape,user_attrs_rmse,user_attrs_stability_penalty,user_attrs_valid_model,state,category,model_family
21,103.0115701402536,2026-06-13 01:37:51.856086,2026-06-13 01:37:51.882415,0 days 00:00:00.026329,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
20,103.0115701402536,2026-06-13 01:37:51.831328,2026-06-13 01:37:51.856056,0 days 00:00:00.024728,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
19,103.0115701402536,2026-06-13 01:37:51.797856,2026-06-13 01:37:51.831298,0 days 00:00:00.033442,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
12,103.0115701402536,2026-06-13 01:37:51.049604,2026-06-13 01:37:51.074829,0 days 00:00:00.025225,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
1,107.98002508858647,2026-06-13 01:37:48.955254,2026-06-13 01:37:49.145182,0 days 00:00:00.189928,0,1,0,20.219094496848452,105.5623540452603,86.11572086756156,True,COMPLETE,esporte_lazer,arima
13,107.98002508858647,2026-06-13 01:37:51.074863,2026-06-13 01:37:51.262768,0 days 00:00:00.187905,0,1,0,20.219094496848452,105.5623540452603,86.11572086756156,True,COMPLETE,esporte_lazer,arima
2,108.82582167634942,2026-06-13 01:37:49.145214,2026-06-13 01:37:49.222731,0 days 00:00:00.077517,1,0,1,20.44728377683944,103.22432855475492,71.29838750407792,True,COMPLETE,esporte_lazer,arima
11,108.82582167634942,2026-06-13 01:37:50.971380,2026-06-13 01:37:51.049572,0 days 00:00:00.078192,1,0,1,20.44728377683944,103.22432855475492,71.29838750407792,True,COMPLETE,esporte_lazer,arima
26,108.82582167634942,2026-06-13 01:37:51.981828,2026-06-13 01:37:52.065246,0 days 00:00:00.083418,1,0,1,20.44728377683944,103.22432855475492,71.29838750407792,True,COMPLETE,esporte_lazer,arima
29,108.82582167634942,2026-06-13 01:37:52.125937,2026-06-13 01:37:52.199147,0 days 00:00:00.073210,1,0,1,20.44728377683944,103.22432855475492,71.29838750407792,True,COMPLETE,esporte_lazer,arima
9,114.46727508495589,2026-06-13 01:37:50.635148,2026-06-13 01:37:50.651087,0 days 00:00:00.015939,1,1,0,21.33494632774792,108.87696475758251,72.74019613999391,True,COMPLETE,esporte_lazer,arima
15,114.46727508495589,2026-06-13 01:37:51.334362,2026-06-13 01:37:51.351744,0 days 00:00:00.017382,1,1,0,21.33494632774792,108.87696475758251,72.74019613999391,True,COMPLETE,esporte_lazer,arima
8,114.46727508495589,2026-06-13 01:37:50.616440,2026-06-13 01:37:50.635119,0 days 00:00:00.018679,1,1,0,21.33494632774792,108.87696475758251,72.74019613999391,True,COMPLETE,esporte_lazer,arima
5,120.1501818942037,2026-06-13 01:37:50.000937,2026-06-13 01:37:50.138355,0 days 00:00:00.137418,0,0,1,20.717661317063097,145.81553383324902,54.64810833461464,True,COMPLETE,esporte_lazer,arima
7,120.1501818942037,2026-06-13 01:37:50.481049,2026-06-13 01:37:50.616404,0 days 00:00:00.135355,0,0,1,20.717661317063097,145.81553383324902,54.64810833461464,True,COMPLETE,esporte_lazer,arima
6,121.05569422727727,2026-06-13 01:37:50.138384,2026-06-13 01:37:50.481017,0 days 00:00:00.342633,0,1,1,25.925104259739495,128.89366309756088,37.15418803789086,True,COMPLETE,esporte_lazer,arima
18,121.05569422727727,2026-06-13 01:37:51.434888,2026-06-13 01:37:51.797812,0 days 00:00:00.362924,0,1,1,25.925104259739495,128.89366309756088,37.15418803789086,True,COMPLETE,esporte_lazer,arima
17,125.88317374672194,2026-06-13 01:37:51.416968,2026-06-13 01:37:51.434860,0 days 00:00:00.017892,1,2,0,22.87754935955208,137.61996621386882,95.88677345531381,True,COMPLETE,esporte_lazer,arima
3,129.65556575161142,2026-06-13 01:37:49.222767,2026-06-13 01:37:49.623002,0 days 00:00:00.400235,0,2,2,24.91690486309912,126.4376190720736,73.81872354372096,True,COMPLETE,esporte_lazer,arima
4,139.46981023586113,2026-06-13 01:37:49.623034,2026-06-13 01:37:50.000905,0 days 00:00:00.377871,0,2,0,26.962692857218578,138.36695657605944,78.86400067574715,True,COMPLETE,esporte_lazer,arima
38,143.65333342088877,2026-06-13 01:37:52.528138,2026-06-13 01:37:52.771763,0 days 00:00:00.243625,1,1,2,29.64893179596297,146.75604806414856,57.69669193609684,True,COMPLETE,esporte_lazer,arima
0,143.65333342088877,2026-06-13 01:37:48.715915,2026-06-13 01:37:48.955224,0 days 00:00:00.239309,1,1,2,29.64893179596297,146.75604806414856,57.69669193609684,True,COMPLETE,esporte_lazer,arima
10,166.66248906978305,2026-06-13 01:37:50.651115,2026-06-13 01:37:50.971352,0 days 00:00:00.320237,1,2,2,33.75293974844234,172.16590856617373,80.96757383507453,True,COMPLETE,esporte_lazer,arima
14,180.65042739169834,2026-06-13 01:37:51.262811,2026-06-13 01:37:51.334332,0 days 00:00:00.071521,0,0,0,32.23179148189425,210.13179558828222,23.125660142044378,True,COMPLETE,esporte_lazer,arima
16,180.65042739169834,2026-06-13 01:37:51.351774,2026-06-13 01:37:51.416938,0 days 00:00:00.065164,0,0,0,32.23179148189425,210.13179558828222,23.125660142044378,True,COMPLETE,esporte_lazer,arima
